Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","22/07/2023 17:55 UTC"
"Last updated:","16 June 2022"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=H9ihDu
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Refugees under UNHCR's mandate",Asylum-seekers,"IDPs of concern to UNHCR","Other people in need of international protection","Stateless persons","Host Community","Others of concern"
2016,Italy,ITA,-,-,49,132,0,-,0,-,0
2016,Jamaica,JAM,-,-,1998,1134,0,-,0,-,0
2016,Jordan,JOR,-,-,1919,2433,0,-,0,-,131
2016,Japan,JPN,-,-,53,83,0,-,0,-,0
2016,Kazakhstan,KAZ,-,-,2366,2225,0,-,0,-,0
2016,Kenya,KEN,-,-,7526,3556,0,-,0,-,20
2016,Kyrgyzstan,KGZ,-,-,2571,2368,0,-,0,-,0
2016,"Rep. of Korea",KOR,-,-,243,266,0,-,0,-,0
2016,"Dem. People's Rep. of Korea",PRK,-,-,1419,526,0,-,0,-,0
2016,Kuwait,KWT,-,-,1013,650,0,-,0,-,0
2016,"Lao People's Dem. Rep.",LAO,-,-,7229,167,0,-,0,-,0
2016,Liberia,LBR,-,-,6558,2601,0,-,0,-,109
2016,Libya,LBY,-,-,8831,6521,174510,-,0,-,10
2016,"Saint Lucia",LCA,-,-,993,196,0,-,0,-,0
2016,Lebanon,LBN,-,-,4719,8484,0,-,0,-,0
2016,Lesotho,LSO,-,-,5,698,0,-,0,-,0
2016,"Sri Lanka",LKA,-,-,117472,15462,39730,-,0,-,12
2016,Lithuania,LTU,-,-,74,78,0,-,0,-,0
2016,Latvia,LVA,-,-,165,96,0,-,0,-,0
2016,"China, Macao SAR",MAC,-,-,5,0,0,-,0,-,0
2016,Madagascar,MDG,-,-,292,53,0,-,0,-,5
2016,Mauritania,MRT,-,-,36263,7386,0,-,0,-,5
2016,"North Macedonia",MKD,-,-,1730,7054,0,-,0,-,0
2016,Monaco,MCO,-,-,5,0,0,-,0,-,0
2016,"Rep. of Moldova",MDA,-,-,2316,4354,0,-,0,-,0
2016,Maldives,MDV,-,-,58,35,0,-,0,-,0
2016,Mexico,MEX,-,-,10387,64256,0,-,0,-,0
2016,"Marshall Islands",MHL,-,-,5,0,0,-,0,-,0
2016,Mali,MLI,-,-,156415,9702,36690,-,0,-,23
2016,Malaysia,MYS,-,-,453,6163,0,-,0,-,0
2016,Malawi,MWI,-,-,427,3752,0,-,0,-,0
2016,Montenegro,MNE,-,-,713,1132,0,-,0,-,0
2016,Mongolia,MNG,-,-,2282,3831,0,-,0,-,0
2016,Morocco,MAR,-,-,2240,7251,0,-,0,-,9
2016,Mozambique,MOZ,-,-,48,5702,15128,-,0,-,0
2016,Mauritius,MUS,-,-,106,203,0,-,0,-,0
2016,Myanmar,MMR,-,-,490285,56023,375016,-,0,-,261
2016,Namibia,NAM,-,-,1363,130,0,-,0,-,41
2016,Nepal,NPL,-,-,8364,11531,0,-,0,-,585
2016,"Netherlands (Kingdom of the)",NLD,-,-,32,42,0,-,0,-,0
2016,Niger,NER,-,-,1230,838,121391,-,0,-,14678
2016,Nicaragua,NIC,-,-,1409,2125,0,-,0,-,0
2016,Nigeria,NGA,-,-,229290,66862,2219272,-,0,-,16
2016,Niue,NIU,-,-,19,0,0,-,0,-,0
2016,Norway,NOR,-,-,10,15,0,-,0,-,0
2016,"New Zealand",NZL,-,-,25,18,0,-,0,-,0
2016,Oman,OMN,-,-,35,24,0,-,0,-,0
2016,Pakistan,PAK,-,-,105419,67700,448956,-,0,-,0
2016,Panama,PAN,-,-,33,81,0,-,0,-,0
2016,Paraguay,PRY,-,-,68,117,0,-,0,-,0
2016,Peru,PER,-,-,2599,2290,0,-,0,-,0
2016,Philippines,PHL,-,-,426,3119,87418,-,0,-,80053
2016,"Papua New Guinea",PNG,-,-,401,261,0,-,0,-,0
2016,Poland,POL,-,-,1159,565,0,-,0,-,0
2016,Portugal,PRT,-,-,20,81,0,-,0,-,0
2016,Qatar,QAT,-,-,25,23,0,-,0,-,0
2016,Romania,ROU,-,-,1195,2520,0,-,0,-,0
2016,"South Africa",ZAF,-,-,452,1075,0,-,0,-,7
2016,"Russian Federation",RUS,-,-,62759,35366,0,-,0,-,0
2016,Rwanda,RWA,-,-,286063,11690,0,-,0,-,6005
2016,"El Salvador",SLV,-,-,19617,62163,0,-,0,-,9800
2016,"Saudi Arabia",SAU,-,-,937,987,0,-,0,-,9
2016,Senegal,SEN,-,-,23054,16301,0,-,0,-,0
2016,Seychelles,SYC,-,-,10,5,0,-,0,-,0
2016,Singapore,SGP,-,-,38,47,0,-,0,-,0
2016,"Sierra Leone",SLE,-,-,4678,4674,0,-,0,-,1479
2016,"Solomon Islands",SLB,-,-,71,79,0,-,0,-,0
2016,Somalia,SOM,-,-,1012320,60491,1562554,-,0,-,290
2016,Spain,ESP,-,-,34,120,0,-,0,-,0
2016,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,36928,21699,219633,-,0,-,0
2016,"Viet Nam",VNM,-,-,329341,4538,0,-,0,-,68
2016,"South Sudan",SSD,-,-,1436707,5792,1853924,-,0,-,0
2016,Stateless,XXA,-,-,48687,10745,0,-,3242206,-,0
2016,"Saint Kitts and Nevis",KNA,-,-,49,22,0,-,0,-,0
2016,"Sao Tome and Principe",STP,-,-,31,8,0,-,0,-,0
2016,Sudan,SDN,-,-,650391,50469,2225557,-,0,-,125
2016,Suriname,SUR,-,-,16,25,0,-,0,-,0
2016,Slovakia,SVK,-,-,792,580,0,-,0,-,0
2016,Slovenia,SVN,-,-,20,12,0,-,0,-,0
2016,Eswatini,SWZ,-,-,224,137,0,-,0,-,0
2016,Sweden,SWE,-,-,13,17,0,-,0,-,0
2016,Switzerland,CHE,-,-,5,10,0,-,0,-,0
2016,"Syrian Arab Rep.",SYR,-,-,5524511,184337,6325978,-,0,-,8516
2016,"United Rep. of Tanzania",TZA,-,-,579,1215,0,-,0,-,10
2016,"Turks and Caicos Islands",TCA,-,-,14,5,0,-,0,-,0
2016,Thailand,THA,-,-,147,950,0,-,0,-,0
2016,Tibetan,TIB,-,-,13536,10,0,-,0,-,0
2016,Tajikistan,TJK,-,-,932,3198,0,-,0,-,0
2016,Turkmenistan,TKM,-,-,371,1069,0,-,0,-,0
2016,Timor-Leste,TLS,-,-,19,0,0,-,0,-,0
2016,Togo,TGO,-,-,8296,2645,0,-,0,-,0
2016,Tonga,TON,-,-,25,77,0,-,0,-,0
2016,"Trinidad and Tobago",TTO,-,-,295,241,0,-,0,-,6
2016,Tunisia,TUN,-,-,1687,2062,0,-,0,-,7
2016,Türkiye,TUR,-,-,57915,23236,0,-,0,-,45
2016,"United Arab Emirates",ARE,-,-,103,160,0,-,0,-,0
2016,Uganda,UGA,-,-,6229,5328,0,-,0,-,180000
2016,"Unknown ",UNK,-,-,138787,216805,0,-,0,-,40875
2016,Ukraine,UKR,-,-,239062,34638,1800000,-,0,-,5
2016,Uruguay,URY,-,-,23,103,0,-,0,-,0
2016,"United States of America",USA,-,-,302,286,0,-,0,-,7
2016,Uzbekistan,UZB,-,-,3824,3087,0,-,0,-,0
2016,"Saint Vincent and the Grenadines",VCT,-,-,1335,131,0,-,0,-,0
2016,"Venezuela (Bolivarian Republic of)",VEN,-,-,7543,45074,0,-,0,-,0
2016,Samoa,WSM,-,-,0,10,0,-,0,-,0
2016,"Western Sahara",ESH,-,-,116648,1993,0,-,0,-,0
2016,Yemen,YEM,-,-,18427,15870,2025060,-,0,-,5
2016,Zambia,ZMB,-,-,256,294,0,-,0,-,0
2016,Zimbabwe,ZWE,-,-,18141,43191,0,-,0,-,161
2017,Afghanistan,AFG,-,-,2624265,333986,1837079,-,0,-,448040
2017,Albania,ALB,-,-,12168,18761,0,-,0,-,0
2017,Algeria,DZA,-,-,4021,6432,0,-,0,-,7
2017,Andorra,AND,-,-,0,5,0,-,0,-,0
2017,Angola,AGO,-,-,8292,7819,0,-,0,-,17729
2017,"Antigua and Barbuda",ATG,-,-,99,63,0,-,0,-,0
2017,Egypt,EGY,-,-,22106,14588,0,-,0,-,41
2017,Argentina,ARG,-,-,121,352,0,-,0,-,0
2017,Armenia,ARM,-,-,10786,14907,0,-,0,-,8
2017,Australia,AUS,-,-,10,10,0,-,0,-,0
2017,Austria,AUT,-,-,10,26,0,-,0,-,0
2017,Azerbaijan,AZE,-,-,10893,9541,612785,-,0,-,0
2017,Bahrain,BHR,-,-,497,172,0,-,0,-,0
2017,Barbados,BRB,-,-,172,76,0,-,0,-,0
2017,Burundi,BDI,-,-,439320,60433,57258,-,0,-,164205
2017,Belgium,BEL,-,-,52,37,0,-,0,-,0
2017,Benin,BEN,-,-,572,1131,0,-,0,-,6
2017,Bangladesh,BGD,-,-,16780,68118,0,-,0,-,15
2017,Bahamas,BHS,-,-,378,235,0,-,0,-,0
2017,Bhutan,BTN,-,-,7954,400,0,-,0,-,0
2017,"Burkina Faso",BFA,-,-,2694,5557,2350,-,0,-,0
2017,Belarus,BLR,-,-,3650,2862,0,-,0,-,0
2017,"Bolivia (Plurinational State of)",BOL,-,-,520,865,0,-,0,-,0
2017,Botswana,BWA,-,-,279,95,0,-,0,-,0
2017,Brazil,BRA,-,-,851,6786,0,-,0,-,0
2017,"Brunei Darussalam",BRN,-,-,0,9,0,-,0,-,0
2017,"Bosnia and Herzegovina",BIH,-,-,17690,1886,98574,-,0,-,48907
2017,Bulgaria,BGR,-,-,716,316,0,-,0,-,0
2017,Belize,BLZ,-,-,64,206,0,-,0,-,0
2017,Cambodia,KHM,-,-,12238,1578,0,-,0,-,0
2017,Canada,CAN,-,-,75,78,0,-,0,-,0
2017,"Central African Rep.",CAF,-,-,545513,12997,688700,-,0,-,21432
2017,"Cayman Islands",CYM,-,-,6,0,0,-,0,-,0
2017,Chad,TCD,-,-,16325,3105,99983,-,0,-,37317
2017,China,CHN,-,-,207716,89508,0,-,0,-,0
2017,Chile,CHL,-,-,493,350,0,-,0,-,0
2017,Cameroon,CMR,-,-,11032,24607,221695,-,0,-,24
2017,Congo,COG,-,-,13295,13068,107828,-,0,-,90
2017,"Dem. Rep. of the Congo",COD,-,-,620805,136152,4351376,-,0,-,10555
2017,Comoros,COM,-,-,600,322,0,-,0,-,0
2017,Colombia,COL,-,-,191635,32478,7677609,-,0,-,0
2017,"Costa Rica",CRI,-,-,195,486,0,-,0,-,0
2017,Cuba,CUB,-,-,5331,13258,0,-,0,-,0
2017,"Curacao ",CUW,-,-,35,0,0,-,0,-,0
2017,"Cabo Verde",CPV,-,-,5,181,0,-,0,-,0
2017,Cyprus,CYP,-,-,0,20,0,-,0,-,0
2017,Czechia,CZE,-,-,1272,307,0,-,0,-,0
2017,Denmark,DNK,-,-,0,21,0,-,0,-,0
2017,Djibouti,DJI,-,-,1761,1286,0,-,0,-,0
2017,Dominica,DMA,-,-,26,63,0,-,0,-,0
2017,"Dominican Rep.",DOM,-,-,427,3159,0,-,0,-,0
2017,Ecuador,ECU,-,-,1251,17341,0,-,0,-,0
2017,"Equatorial Guinea",GNQ,-,-,127,110,0,-,0,-,0
2017,Eritrea,ERI,-,-,486209,78308,0,-,0,-,145
2017,Estonia,EST,-,-,288,42,0,-,0,-,0
2017,Ethiopia,ETH,-,-,87448,133659,1078429,-,0,-,4258
2017,"French Guiana",GUF,-,-,0,11,0,-,0,-,0
2017,Fiji,FJI,-,-,734,678,0,-,0,-,0
2017,Finland,FIN,-,-,5,10,0,-,0,-,0
2017,France,FRA,-,-,54,140,0,-,0,-,0
2017,Gabon,GAB,-,-,216,696,0,-,0,-,0
2017,Gambia,GMB,-,-,14564,22214,0,-,0,-,0
2017,Palestinian,PSE,-,-,99630,8859,0,-,0,-,1661
2017,"United Kingdom of Great Britain and Northern Ireland",GBR,-,-,85,158,0,-,0,-,0
2017,Georgia,GEO,-,-,6535,16466,278103,-,0,-,0
2017,Germany,DEU,-,-,66,179,0,-,0,-,0
2017,Ghana,GHA,-,-,16959,17504,0,-,0,-,0
2017,Guadeloupe,GLP,-,-,0,37,0,-,0,-,0
2017,Guinea-Bissau,GNB,-,-,1870,3502,0,-,0,-,0
2017,Greece,GRC,-,-,106,95,0,-,0,-,0
2017,Grenada,GRD,-,-,103,62,0,-,0,-,0
2017,Guatemala,GTM,-,-,16284,72726,0,-,0,-,0
2017,Guinea,GIN,-,-,20333,34518,0,-,0,-,0
2017,Guyana,GUY,-,-,260,482,0,-,0,-,0
2017,Haiti,HTI,-,-,28424,37018,0,-,0,-,43871
2017,"China, Hong Kong SAR",HKG,-,-,11,104,0,-,0,-,0
2017,Honduras,HND,-,-,14424,59782,174000,-,0,-,3200
2017,Croatia,HRV,-,-,24869,268,0,-,0,-,8019
2017,Hungary,HUN,-,-,3336,1656,0,-,0,-,5
2017,Iceland,ISL,-,-,5,0,0,-,0,-,0
2017,"Cote d'Ivoire",CIV,-,-,40009,26535,0,-,0,-,20
2017,India,IND,-,-,7926,40356,0,-,0,-,235
2017,Indonesia,IDN,-,-,12485,5384,0,-,0,-,0
2017,Ireland,IRL,-,-,0,52,0,-,0,-,0
2017,"Iran (Islamic Rep. of)",IRN,-,-,118639,75079,0,-,0,-,2729
2017,Iraq,IRQ,-,-,362536,272627,2615988,-,0,-,11227
2017,Israel,ISR,-,-,469,691,0,-,0,-,0
2017,Italy,ITA,-,-,52,282,0,-,0,-,0
2017,Jamaica,JAM,-,-,2224,1430,0,-,0,-,0
2017,Jordan,JOR,-,-,2119,3467,0,-,0,-,60
2017,Japan,JPN,-,-,44,99,0,-,0,-,0
2017,Kazakhstan,KAZ,-,-,2406,3514,0,-,0,-,0
2017,Kenya,KEN,-,-,7567,5714,0,-,0,-,12
2017,Kyrgyzstan,KGZ,-,-,2771,2570,0,-,0,-,0
2017,"Rep. of Korea",KOR,-,-,239,381,0,-,0,-,0
2017,"Dem. People's Rep. of Korea",PRK,-,-,1176,587,0,-,0,-,0
2017,Kuwait,KWT,-,-,1097,951,0,-,0,-,5
2017,"Lao People's Dem. Rep.",LAO,-,-,7056,223,0,-,0,-,0
2017,Liberia,LBR,-,-,6039,3362,0,-,0,-,145
2017,Libya,LBY,-,-,11205,6842,180937,-,0,-,5
2017,"Saint Lucia",LCA,-,-,995,178,0,-,0,-,0
2017,Lebanon,LBN,-,-,5301,9285,0,-,0,-,0
2017,Lesotho,LSO,-,-,6,20,0,-,0,-,0
2017,"Sri Lanka",LKA,-,-,115632,18934,39322,-,0,-,6
2017,Lithuania,LTU,-,-,73,95,0,-,0,-,0
2017,Latvia,LVA,-,-,162,105,0,-,0,-,0
2017,"China, Macao SAR",MAC,-,-,0,10,0,-,0,-,0
2017,Madagascar,MDG,-,-,292,73,0,-,0,-,5
2017,Mauritania,MRT,-,-,36525,7543,0,-,0,-,5
2017,"North Macedonia",MKD,-,-,1653,4038,0,-,0,-,0
2017,Monaco,MCO,-,-,5,0,0,-,0,-,0
2017,"Rep. of Moldova",MDA,-,-,2339,3418,0,-,0,-,0
2017,Maldives,MDV,-,-,64,34,0,-,0,-,0
2017,Mexico,MEX,-,-,11679,85078,0,-,0,-,0
2017,"Marshall Islands",MHL,-,-,7,0,0,-,0,-,0
2017,Mali,MLI,-,-,150305,15086,38172,-,0,-,366
2017,Malaysia,MYS,-,-,540,9478,0,-,0,-,0
2017,Malawi,MWI,-,-,434,3154,0,-,0,-,0
2017,Montenegro,MNE,-,-,704,770,0,-,0,-,0
2017,Mongolia,MNG,-,-,2227,4169,0,-,0,-,5
2017,Morocco,MAR,-,-,3089,6853,0,-,0,-,15
2017,Mozambique,MOZ,-,-,48,12581,15128,-,0,-,0
2017,Malta,MLT,-,-,0,5,0,-,0,-,0
2017,Mauritius,MUS,-,-,130,229,0,-,0,-,0
2017,Myanmar,MMR,-,-,1156742,41088,353108,-,0,-,109
2017,Namibia,NAM,-,-,1368,211,0,-,0,-,5
2017,Nepal,NPL,-,-,8415,13186,0,-,0,-,382
2017,"Netherlands (Kingdom of the)",NLD,-,-,39,64,0,-,0,-,0
2017,Niger,NER,-,-,1363,2399,129015,-,0,-,14820
2017,Nicaragua,NIC,-,-,1467,2722,0,-,0,-,0
2017,Nigeria,NGA,-,-,238977,91924,1704080,-,0,-,24
2017,Niue,NIU,-,-,19,5,0,-,0,-,0
2017,Norway,NOR,-,-,15,25,0,-,0,-,0
2017,"New Zealand",NZL,-,-,34,27,0,-,0,-,0
2017,Oman,OMN,-,-,39,22,0,-,0,-,0
2017,Pakistan,PAK,-,-,128914,76885,174354,-,0,-,0
2017,Panama,PAN,-,-,36,126,0,-,0,-,0
2017,Paraguay,PRY,-,-,77,175,0,-,0,-,0
2017,Peru,PER,-,-,2588,3497,0,-,0,-,0
2017,Philippines,PHL,-,-,445,8081,311943,-,0,-,80049
2017,Palau,PLW,-,-,0,5,0,-,0,-,0
2017,"Papua New Guinea",PNG,-,-,406,372,0,-,0,-,0
2017,Poland,POL,-,-,1123,784,0,-,0,-,0
2017,Portugal,PRT,-,-,16,171,0,-,0,-,0
2017,Qatar,QAT,-,-,31,39,0,-,0,-,0
2017,Romania,ROU,-,-,1210,3256,0,-,0,-,0
2017,"South Africa",ZAF,-,-,461,1608,0,-,0,-,5
2017,"Russian Federation",RUS,-,-,61584,38663,0,-,0,-,0
2017,Rwanda,RWA,-,-,258986,12801,0,-,0,-,6677
2017,"El Salvador",SLV,-,-,25876,104901,71500,-,0,-,4200
2017,"Saudi Arabia",SAU,-,-,1219,1247,0,-,0,-,9
2017,Senegal,SEN,-,-,26584,25181,0,-,0,-,0
2017,Seychelles,SYC,-,-,10,5,0,-,0,-,0
2017,Singapore,SGP,-,-,48,55,0,-,0,-,0
2017,"Sierra Leone",SLE,-,-,4496,6236,0,-,0,-,374
2017,"Solomon Islands",SLB,-,-,57,106,0,-,0,-,0
2017,Somalia,SOM,-,-,986386,58320,2116705,-,0,-,230
2017,Spain,ESP,-,-,39,197,0,-,0,-,0
2017,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,33246,12807,217453,-,0,-,0
2017,"Viet Nam",VNM,-,-,334064,7115,0,-,0,-,68
2017,"South Sudan",SSD,-,-,2439888,6452,1903953,-,0,-,10000
2017,Stateless,XXA,-,-,53352,8890,0,-,3853982,-,0
2017,"Saint Kitts and Nevis",KNA,-,-,51,18,0,-,0,-,0
2017,"Sao Tome and Principe",STP,-,-,31,23,0,-,0,-,0
2017,Sudan,SDN,-,-,694556,52191,1997022,-,0,-,19
2017,Suriname,SUR,-,-,17,44,0,-,0,-,0
2017,Slovakia,SVK,-,-,913,699,0,-,0,-,0
2017,Slovenia,SVN,-,-,17,14,0,-,0,-,0
2017,Eswatini,SWZ,-,-,231,40,0,-,0,-,0
2017,Sweden,SWE,-,-,14,18,0,-,0,-,0
2017,Switzerland,CHE,-,-,5,10,0,-,0,-,0
2017,"Syrian Arab Rep.",SYR,-,-,6310498,147179,6150005,-,0,-,8596
2017,"United Rep. of Tanzania",TZA,-,-,655,1455,0,-,0,-,15
2017,"Turks and Caicos Islands",TCA,-,-,14,5,0,-,0,-,0
2017,Thailand,THA,-,-,164,1333,0,-,0,-,0
2017,Tibetan,TIB,-,-,13531,12,0,-,0,-,8
2017,Tajikistan,TJK,-,-,1369,3617,0,-,0,-,0
2017,Turkmenistan,TKM,-,-,365,1115,0,-,0,-,0
2017,Timor-Leste,TLS,-,-,13,5,0,-,0,-,0
2017,Togo,TGO,-,-,8115,3762,0,-,0,-,0
2017,Tonga,TON,-,-,34,106,0,-,0,-,0
2017,"Trinidad and Tobago",TTO,-,-,310,303,0,-,0,-,15
2017,Tunisia,TUN,-,-,1826,2330,0,-,0,-,7
2017,Türkiye,TUR,-,-,61383,33801,0,-,0,-,10
2017,"United Arab Emirates",ARE,-,-,137,207,0,-,0,-,0
2017,Uganda,UGA,-,-,6409,10156,0,-,0,-,180000
2017,"Unknown ",UNK,-,-,202190,34577,0,-,0,-,120348
2017,Ukraine,UKR,-,-,139581,37670,1800000,-,0,-,5
2017,Uruguay,URY,-,-,12,174,0,-,0,-,0
2017,"United States of America",USA,-,-,310,2196,0,-,0,-,6
2017,Uzbekistan,UZB,-,-,3405,3541,0,-,0,-,0
2017,Vanuatu,VUT,-,-,0,14,0,-,0,-,0
2017,"Saint Vincent and the Grenadines",VCT,-,-,1311,136,0,-,0,-,0
2017,"Venezuela (Bolivarian Republic of)",VEN,-,-,9272,148096,0,-,0,-,345585
2017,Samoa,WSM,-,-,0,11,0,-,0,-,0
2017,"Western Sahara",ESH,-,-,116762,1843,0,-,0,-,0
2017,Yemen,YEM,-,-,23555,24629,2014062,-,0,-,10
2017,Zambia,ZMB,-,-,260,164,0,-,0,-,5
2017,Zimbabwe,ZWE,-,-,17420,21760,0,-,0,-,169
2018,Afghanistan,AFG,-,-,2681267,310107,2106893,-,0,-,489859
2018,Albania,ALB,-,-,13512,21071,0,-,0,-,0
2018,Algeria,DZA,-,-,4181,7447,0,-,0,-,11
2018,Angola,AGO,-,-,8243,8904,0,-,0,-,18020
2018,"Antigua and Barbuda",ATG,-,-,107,47,0,-,0,-,0
